id,0,1,2,3,4,5,6,7,8
0,0.00075,0.0,0.00025,0.0005,0.00025,0.99825,0.0,0.0,0.0
1,0.0,0.0165,0.02125,0.009,0.0,0.0035,0.94625,0.0,0.0035
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0.00175,0.00175,0.0005,0.00075,0.0,0.979,0.00875,0.0025,0.005
4,0.00075,0.01725,0.97075,0.00375,0.0,0.00075,0.00525,0.00125,0.00025
5,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.9995,0.00025
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,0.02075,0.977,0.0,0.0,0.00025,0.0,0.002,0.0
9,0.003,0.002,0.0005,0.00175,0.0,0.00625,0.00625,0.97675,0.0035
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0005,0.047,0.9255,0.0235,0.0,0.00075,0.00175,0.0,0.001
13,0.0,0.0,0.00025,0.0,0.0,0.99975,0.0,0.0,0.0
14,0.0,0.98675,0.00725,0.00275,0.00025,0.00075,0.001,0.00075,0.0005
15,0.00575,0.02025,0.0295,0.0075,0.00075,0.885,0.04075,0.004,0.0065
16,0.00175,0.001,0.00175,0.00025,0.00025,0.055,0.00125,0.93675,0.002
17,0.92,0.0,0.0,0.00125,0.00025,0.056,0.00725,0.005,0.01025
18,0.0,0.02425,0.96175,0.012,0.0005,0.001,0.0005,0.0,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0.0005,0.0,0.0,0.0,0.0,0.99875,0.00025,0.0005,0.0
21,0.0,0.0,0.0,0.0,0.0,0.00075,0.00025,0.999,0.0
22,0.0,0.0205,0.976,0.0025,0.0,0.00025,0.00075,0.0,0.0
23,0.00175,0.011,0.976,0.0075,0.0005,0.00075,0.00075,0.00025,0.0015
24,0.00725,0.00125,0.0015,0.00075,0.0,0.004,0.00425,0.005,0.976
25,0.0,0.0,0.0,0.0,0.0,0.99925,0.0,0.00075,0.0
26,0.0015,0.00225,0.0015,0.00025,0.0,0.0085,0.0015,0.98225,0.00225
27,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.99825,0.00025
28,0.00225,0.96825,0.01775,0.0075,0.00075,0.0,0.0005,0.0,0.003
29,0.00225,0.00075,0.00075,0.0,0.0,0.00575,0.00025,0.97875,0.0115
30,0.0115,0.0,0.0,0.0,0.0,0.0015,0.00025,0.0005,0.98625
31,0.0,0.071,0.9215,0.00525,0.00025,0.0,0.002,0.0,0.0
32,0.90375,0.037,0.0305,0.02175,0.003,0.002,0.00075,0.001,0.00025
33,0.0045,0.94675,0.02075,0.00625,0.0015,0.00375,0.00075,0.00525,0.0105
34,0.006,0.0005,0.0005,0.0,0.0,0.01225,0.0045,0.97275,0.0035
35,0.00325,0.0,0.0,0.0,0.0,0.00675,0.0,0.0,0.99
36,0.0,0.0,0.0,0.0,0.0,0.99975,0.0,0.00025,0.0
37,0.00125,0.00025,0.00025,0.001,0.0,0.9855,0.0105,0.00075,0.0005
38,0.0005,0.0765,0.917,0.00475,0.0005,0.00025,0.0005,0.0,0.0
39,0.0005,0.935,0.03825,0.01525,0.0,0.0005,0.0075,0.00025,0.00275
40,0.0,0.00025,0.0,0.00025,0.0,0.9955,0.0005,0.0005,0.003
41,0.00375,0.022,0.95575,0.0085,0.00075,0.00075,0.003,0.00125,0.00425
42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,0.0,0.992,0.002,0.00575,0.0,0.00025,0.0,0.0,0.0
44,0.00025,0.00025,0.0,0.00125,0.0,0.99675,0.00025,0.0005,0.00075
45,0.0,0.0,0.0,0.0,0.0,0.99975,0.0,0.00025,0.0
46,0.0,0.0,0.0,0.0,0.00025,0.9995,0.0,0.00025,0.0
47,0.00825,0.95325,0.007,0.0075,0.0015,0.003,0.00225,0.0025,0.01475
48,0.0,0.94625,0.05325,0.0005,0.0,0.0,0.0,0.0,0.0
49,0.0,0.98425,0.0125,0.003,0.0,0.0,0.00025,0.0,0.0
50,0.00125,0.03075,0.9605,0.00175,0.00225,0.00125,0.0005,0.00025,0.0015
51,0.0,0.965,0.021,0.013,0.00025,0.0,0.0005,0.00025,0.0
52,0.009,0.001,0.00025,0.00025,0.0005,0.005,0.001,0.0045,0.9785
53,0.00025,0.0,0.0,0.0,0.0,0.9975,0.00025,0.002,0.0
54,0.0,0.05025,0.0565,0.89325,0.0,0.0,0.0,0.0,0.0
55,0.92525,0.00625,0.00225,0.00025,0.003,0.00675,0.0045,0.0145,0.03725
56,0.001,0.0025,0.0015,0.0005,0.0,0.00175,0.0005,0.00125,0.991
57,0.0,0.992,0.0045,0.00325,0.00025,0.0,0.0,0.0,0.0
58,0.00025,0.01575,0.97025,0.0095,0.0,0.00125,0.0015,0.00125,0.00025
59,0.00025,0.0,0.00025,0.0,0.0,0.00125,0.00025,0.998,0.0
60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,0.0,0.98325,0.0105,0.0,0.0005,0.0025,0.00275,0.0005,0.0
62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,0.0005,0.0155,0.00475,0.979,0.0,0.00025,0.0,0.0,0.0
64,0.0005,0.0,0.0,0.0005,0.0,0.9985,0.0,0.00025,0.00025
65,0.0005,0.0,0.0,0.00025,0.0,0.995,0.004,0.00025,0.0
66,0.0025,0.0005,0.00025,0.00075,0.0,0.99075,0.003,0.00075,0.0015
67,0.00075,0.96125,0.023,0.0105,0.0,0.0,0.00425,0.0,0.00025
68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,0.0,0.9795,0.01825,0.0015,0.0,0.0,0.0,0.0,0.00075
70,0.0045,0.0,0.0,0.0,0.00025,0.001,0.0,0.0,0.99425
71,0.00075,0.945,0.0425,0.0005,0.0,0.00325,0.007,0.001,0.0
72,0.001,0.0,0.0,0.0,0.0,0.997,0.00025,0.00075,0.001
73,0.00025,0.99625,0.00125,0.001,0.0,0.0,0.001,0.00025,0.0
74,0.0,0.0025,0.0,0.0,0.99725,0.0,0.0,0.00025,0.0
75,0.00375,0.007,0.004,0.004,0.0,0.9565,0.0115,0.0075,0.00575
76,0.002,0.00025,0.0005,0.00125,0.0,0.00125,0.001,0.9935,0.00025
